"dC_corr","dN"
-16.32,12.53
-16.4054262051206,12.76
-16.57,13.23
-16.62,11.92
-16.66,12.69
-16.82,13.53
-16.8469270738155,12.18
-16.85444,12.95
-16.896006043587,13.02
-16.98,12.58
-17.04,12.67
-17.17,12.49
-17.47,13.83
-17.52,13.41
-17.52,13.63
-17.58,13.38
-17.66,13.16
-17.72,13.6
-17.76,13.28
-17.79,12.41
-17.8,13.21
-17.81,12.4
-17.83,13.45
-17.85,12.96
-17.88,12.4
-17.92,13.14
-17.94,12.8
-17.94,13.09
-17.94,13.2
-17.94,13.4
-17.97,12.93
-18,13.75
-18.03,13.31
-18.05,12.62
-18.06,13.14
-18.07,12.98
-18.07,13.2
-18.07,13.46
-18.08,12.68
-18.08,13.03
-18.09,13.08
-18.1,12.91
-18.1,13.4
-18.11,13.12
-18.1182137220603,12.59
-18.14,12.03
-18.14,13.33
-18.15,12.26
-18.17,13.5
-18.18,12.18
-18.2,12.9
-18.21,12.79
-18.27,13.2
-18.29,12.46
-18.32,13.21
-18.35,12.43
-18.35,13.23
-18.37,12.04
-18.45,12.9
-18.4537891051418,11.94
-18.46,12.49
-18.5,11.98
-18.51,12.63
-18.54,11.66
-18.57,12.38
-18.58,12.42
-18.65,13.4
-18.73,12.46
-18.74,12.62
-18.76,12.7
-18.79,11.82
-18.81,11.86
-18.82,12.76
-18.84,12.97
-18.92,12.88
