"dC_corr","dN","FL"
-16.6778629168136,10.73,124
-16.8330008403709,10.71,165
-17.37,12.52,100.7
-17.59,12.17,194
-17.77,13.33,162
-17.78,12.43,96.8
-17.8,12.33,183
-17.85,12.88,117
-17.9,12.61,218
-17.91,11.78,151
-17.9248411161851,12.58,117
-17.95,12.12,181
-17.95,13.11,128
-17.95,13.11,78.5
-17.97,12.18,135
-18.08,11.57,105
-18.08,11.78,170
-18.09,11.33,152
-18.11,11.28,176
-18.2,11.28,110
-18.24,10.48,100.3
-18.24,9.61,91.4
-18.28,10.84,97.5
-18.31,10.88,125
-18.34,10.88,127.5
-18.34,13.21,110
-18.35,12.19,117
-18.38,10.34,95
-18.47,11.05,100
-18.52,11.41,203
-18.6233636073242,12.05,51
